->ENTRY POINT INTO HIV CARE (90200),eMTCT ->PMTCT (90012)
->ENTRY POINT INTO HIV CARE (90200),TB ->TB TREATMENT CENTER (90016)
->ENTRY POINT INTO HIV CARE (90200),YCC ->YCC-Young child clinic (99593)
->ENTRY POINT INTO HIV CARE (90200),Outreach ->IDU OUTREACH (90019)
->ENTRY POINT INTO HIV CARE (90200),Out Patient ->MEDICAL OUTPATIENT (90013)
->ENTRY POINT INTO HIV CARE (90200),STI ->STI OUTPATIENT (90015)
->ENTRY POINT INTO HIV CARE (90200),Inpatient ->MEDICAL INPATIENT (90018)
->ENTRY POINT INTO HIV CARE (90200),Other ->OTHER SPECIFY (90002)
,
->Date of NVP initiation (99771),Date
,
->Date of Cotrim initiation (99773),Date
,
->EID Mother's first Name (99776),Text
,
->EID Mother's surname (99775),Text
,
->EID Mother's Telephone No. (162889),Text
,
->EID Mother's District (162884),Text
,
->EID Mother's County (162885),Text
,
->EID Mother's Sub County (162886),Text
,
->EID Mother's Village (162887),Text
,
->EID Mother's Parish (162888),Text
,
->PATIENT VILLAGE (99137),Text
,
->Outreach Introduction Method (162867),Text
,
->LC1 Chairman (162866),Text
,
->Directions to caregiver's home address (162868),Text
,
->Alternative Contact Person (162869),Text
,
Relationship: ->RELATIONSHIP (90269),->AUNT/UNCLE (90281)
Relationship: ->RELATIONSHIP (90269),->BROTHER/SISTER (90285)
Relationship: ->RELATIONSHIP (90269),->CHILD (90280)
Relationship: ->RELATIONSHIP (90269),->COUSIN (90286)
Relationship: ->RELATIONSHIP (90269),->FRIEND (5618)
Relationship: ->RELATIONSHIP (90269),->GRANDCHILD (90284)
Relationship: ->RELATIONSHIP (90269),->GRANDPARENT (90283)
Relationship: ->RELATIONSHIP (90269),->NIECE/NEPHEW (90282)
Relationship: ->RELATIONSHIP (90269),->NOT FAMILY (90287)
Relationship: ->RELATIONSHIP (90269),->PARENT (90279)
Relationship: ->RELATIONSHIP (90269),->SPOUSE/PARTNER (90288)
,
->Alternative Telephone No. (162870),Text
,
->Has This Person been disclosed to? (162871),->NO (90004)
,->YES (90003)
,
->Delivered By (99570),Text
,
->METHOD OF DELIVERY (5630),->BREECH (1172)
->METHOD OF DELIVERY (5630),->CESAREAN SECTION (1171)
->METHOD OF DELIVERY (5630),->Forceps or Vacuum Extractor Delivery (163005)
